A8O17_RS05005,locus_tag.d6,start,end,strand,locus_tag.168
NZ_CP015975.1,A8O17_RS00005,410,1750,+,BSU_00010
NZ_CP015975.1,A8O17_RS00010,1939,3075,+,BSU_00020
NZ_CP015975.1,A8O17_RS00015,3206,3421,+,BSU_00030
NZ_CP015975.1,A8O17_RS00020,3437,4549,+,BSU_00040
NZ_CP015975.1,A8O17_RS00025,4567,4812,+,BSU_00050
NZ_CP015975.1,A8O17_RS00030,4867,6783,+,BSU_00060
NZ_CP015975.1,A8O17_RS00035,6994,9459,+,BSU_00070
NZ_CP015975.1,A8O17_RS00065,14847,15794,-,BSU_00080
NZ_CP015975.1,A8O17_RS00070,15915,17381,+,BSU_00090
NZ_CP015975.1,A8O17_RS00075,17534,18865,+,BSU_00100
NZ_CP015975.1,A8O17_RS00080,19062,19946,+,BSU_00110
NZ_CP015975.1,A8O17_RS00085,19968,20558,+,BSU_00120
NZ_CP015975.1,A8O17_RS00090,20880,22157,+,BSU_00130
NZ_CP015975.1,A8O17_RS00100,22496,23149,-,BSU_00140
NZ_CP015975.1,A8O17_RS00105,23146,23769,-,BSU_00150
NZ_CP015975.1,A8O17_RS00110,23868,25151,-,BSU_00160
NZ_CP015975.1,A8O17_RS00115,25221,25766,-,BSU_00170
NZ_CP015975.1,A8O17_RS00120,25852,26337,+,BSU_00180
NZ_CP015975.1,A8O17_RS00130,26814,28505,+,BSU_00190
NZ_CP015975.1,A8O17_RS00135,28529,28852,+,BSU_00200
NZ_CP015975.1,A8O17_RS00140,28867,29463,+,BSU_00210
NZ_CP015975.1,A8O17_RS00145,29481,29705,+,BSU_00220
NZ_CP015975.1,A8O17_RS00150,29772,30035,+,BSU_00230
NZ_CP015975.1,A8O17_RS00180,35531,35725,+,BSU_00240
NZ_CP015975.1,A8O17_RS00185,35845,36459,+,BSU_00250
NZ_CP015975.1,A8O17_RS00190,36478,37638,+,BSU_00260
NZ_CP015975.1,A8O17_RS00195,37720,39162,+,BSU_00270
NZ_CP015975.1,A8O17_RS00200,39159,39797,+,BSU_00280
NZ_CP015975.1,A8O17_RS00205,39871,40200,+,BSU_00290
NZ_CP015975.1,A8O17_RS00210,40213,40653,+,BSU_00300
NZ_CP015975.1,A8O17_RS00215,40665,41654,+,BSU_00310
NZ_CP015975.1,A8O17_RS00220,41657,42484,+,BSU_00320
NZ_CP015975.1,A8O17_RS00225,42499,42858,+,BSU_00330
NZ_CP015975.1,A8O17_RS00230,42917,43660,+,BSU_00340
NZ_CP015975.1,A8O17_RS00235,43647,43946,+,BSU_00350
NZ_CP015975.1,A8O17_RS00240,43921,44799,+,BSU_00360
NZ_CP015975.1,A8O17_RS00245,44848,45138,-,BSU_00370
NZ_CP015975.1,A8O17_RS00250,45633,47627,+,BSU_00380
NZ_CP015975.1,A8O17_RS00255,47706,48473,+,BSU_00390
NZ_CP015975.1,A8O17_RS00260,48629,49942,+,BSU_00400
NZ_CP015975.1,A8O17_RS00265,50087,50647,+,BSU_00410
NZ_CP015975.1,A8O17_RS00270,50640,51518,+,BSU_00420
NZ_CP015975.1,A8O17_RS00275,51680,52552,+,BSU_00430
NZ_CP015975.1,A8O17_RS00280,52763,53023,+,BSU_00440
NZ_CP015975.1,A8O17_RS00285,53183,53368,+,BSU_00450
NZ_CP015975.1,A8O17_RS00290,53516,54385,+,BSU_00460
NZ_CP015975.1,A8O17_RS00295,54441,55298,+,BSU_00470
NZ_CP015975.1,A8O17_RS00300,55295,55672,+,BSU_00480
NZ_CP015975.1,A8O17_RS00305,55866,56159,+,BSU_00490
NZ_CP015975.1,A8O17_RS00315,56352,57722,+,BSU_00500
NZ_CP015975.1,A8O17_RS00320,57745,58698,+,BSU_00510
NZ_CP015975.1,A8O17_RS00325,58783,59397,+,BSU_00520
NZ_CP015975.1,A8O17_RS00330,59504,60070,+,BSU_00530
NZ_CP015975.1,A8O17_RS00335,60130,60360,+,BSU_00540
NZ_CP015975.1,A8O17_RS00340,60430,63963,+,BSU_00550
NZ_CP015975.1,A8O17_RS00345,64099,64635,+,BSU_00560
NZ_CP015975.1,A8O17_RS00350,64817,66415,+,BSU_00570
NZ_CP015975.1,A8O17_RS00355,66405,67874,+,BSU_00580
NZ_CP015975.1,A8O17_RS00360,67877,68137,+,BSU_00590
NZ_CP015975.1,A8O17_RS00365,68216,68518,+,BSU_00600
NZ_CP015975.1,A8O17_RS00370,68515,69150,+,BSU_00610
NZ_CP015975.1,A8O17_RS00375,69168,69545,+,BSU_00620
NZ_CP015975.1,A8O17_RS00380,69626,70012,+,BSU_00630
NZ_CP015975.1,A8O17_RS00395,70538,73021,+,BSU_00640
NZ_CP015975.1,A8O17_RS00400,73106,73843,+,BSU_00650
NZ_CP015975.1,A8O17_RS00405,73809,74825,+,BSU_00660
NZ_CP015975.1,A8O17_RS00410,74929,76347,+,BSU_00670
NZ_CP015975.1,A8O17_RS00415,76344,76886,+,BSU_00680
NZ_CP015975.1,A8O17_RS00420,76984,78897,+,BSU_00690
NZ_CP015975.1,A8O17_RS00425,79092,79868,+,BSU_00700
NZ_CP015975.1,A8O17_RS00430,79880,80755,+,BSU_00710
NZ_CP015975.1,A8O17_RS00435,80802,81695,+,BSU_00720
NZ_CP015975.1,A8O17_RS00440,81771,82697,+,BSU_00730
NZ_CP015975.1,A8O17_RS00445,82864,84276,+,BSU_00740
NZ_CP015975.1,A8O17_RS00450,84290,84874,+,BSU_00750
NZ_CP015975.1,A8O17_RS00455,84874,85755,+,BSU_00760
NZ_CP015975.1,A8O17_RS00460,85737,86594,+,BSU_00770
NZ_CP015975.1,A8O17_RS00465,86587,86949,+,BSU_00780
NZ_CP015975.1,A8O17_RS00470,86946,87449,+,BSU_00790
NZ_CP015975.1,A8O17_RS00475,87401,87610,+,BSU_00800
NZ_CP015975.1,A8O17_RS00480,87634,88635,+,BSU_00810
NZ_CP015975.1,A8O17_RS00485,88727,90226,+,BSU_00820
NZ_CP015975.1,A8O17_RS00570,101449,101913,+,BSU_00830
NZ_CP015975.1,A8O17_RS00575,101927,102484,+,BSU_00840
NZ_CP015975.1,A8O17_RS00580,102484,103575,+,BSU_00850
NZ_CP015975.1,A8O17_RS00585,103572,106004,+,BSU_00860
NZ_CP015975.1,A8O17_RS00590,106096,107472,+,BSU_00870
NZ_CP015975.1,A8O17_RS00595,107476,108558,+,BSU_00880
NZ_CP015975.1,A8O17_RS00600,108674,109774,+,BSU_00890
NZ_CP015975.1,A8O17_RS00605,109789,110487,+,BSU_00900
NZ_CP015975.1,A8O17_RS00610,110480,110956,+,BSU_00910
NZ_CP015975.1,A8O17_RS00615,111047,112498,+,BSU_00920
NZ_CP015975.1,A8O17_RS00625,112800,113453,+,BSU_00930
NZ_CP015975.1,A8O17_RS00630,113450,114850,+,BSU_00940
NZ_CP015975.1,A8O17_RS00635,114854,115285,+,BSU_00950
NZ_CP015975.1,A8O17_RS00640,115269,116018,+,BSU_00960
NZ_CP015975.1,A8O17_RS00645,116025,116537,+,BSU_00970
NZ_CP015975.1,A8O17_RS00650,116600,117256,+,BSU_00980
NZ_CP015975.1,A8O17_RS00655,117349,117498,+,BSU_00990
NZ_CP015975.1,A8O17_RS00660,117532,117711,+,BSU_01000
NZ_CP015975.1,A8O17_RS00665,117890,118423,+,BSU_01010
NZ_CP015975.1,A8O17_RS00670,118591,119016,+,BSU_01020
NZ_CP015975.1,A8O17_RS00675,119111,119809,+,BSU_01030
NZ_CP015975.1,A8O17_RS00680,120061,120561,+,BSU_01040
NZ_CP015975.1,A8O17_RS00685,120607,120978,+,BSU_01050
NZ_CP015975.1,A8O17_RS00690,121068,121673,+,BSU_01060
NZ_CP015975.1,A8O17_RS00695,121919,125500,+,BSU_01070
NZ_CP015975.1,A8O17_RS00700,125562,129161,+,BSU_01080
NZ_CP015975.1,A8O17_RS00705,129340,129588,+,BSU_01090
NZ_CP015975.1,A8O17_RS00710,129702,130118,+,BSU_01100
NZ_CP015975.1,A8O17_RS00715,130160,130630,+,BSU_01110
NZ_CP015975.1,A8O17_RS00720,130684,132762,+,BSU_01120
NZ_CP015975.1,A8O17_RS00725,132882,134072,+,BSU_01130
NZ_CP015975.1,A8O17_RS00730,134171,135127,+,BSU_01140
NZ_CP015975.1,A8O17_RS00735,135364,135672,+,BSU_01150
NZ_CP015975.1,A8O17_RS00740,135712,136341,+,BSU_01160
NZ_CP015975.1,A8O17_RS00745,136369,136992,+,BSU_01170
NZ_CP015975.1,A8O17_RS00750,136992,137279,+,BSU_01180
NZ_CP015975.1,A8O17_RS00755,137311,138144,+,BSU_01190
NZ_CP015975.1,A8O17_RS00760,138202,138480,+,BSU_01200
NZ_CP015975.1,A8O17_RS00765,138497,138838,+,BSU_01210
NZ_CP015975.1,A8O17_RS00770,138842,139498,+,BSU_01220
NZ_CP015975.1,A8O17_RS00775,139500,139934,+,BSU_01230
NZ_CP015975.1,A8O17_RS00780,139924,140124,+,BSU_01240
NZ_CP015975.1,A8O17_RS00785,140147,140410,+,BSU_01250
NZ_CP015975.1,A8O17_RS00790,140451,140819,+,BSU_01260
NZ_CP015975.1,A8O17_RS00795,140857,141168,+,BSU_01270
NZ_CP015975.1,A8O17_RS00800,141195,141734,+,BSU_01280
NZ_CP015975.1,A8O17_RS00805,141757,141942,+,BSU_01290
NZ_CP015975.1,A8O17_RS00810,141974,142372,+,BSU_01300
NZ_CP015975.1,A8O17_RS00815,142402,142941,+,BSU_01310
NZ_CP015975.1,A8O17_RS00820,142974,143336,+,BSU_01320
NZ_CP015975.1,A8O17_RS00825,143361,143861,+,BSU_01330
NZ_CP015975.1,A8O17_RS00830,143875,144054,+,BSU_01340
NZ_CP015975.1,A8O17_RS00835,144085,144525,+,BSU_01350
NZ_CP015975.1,A8O17_RS00840,144527,145822,+,BSU_01360
NZ_CP015975.1,A8O17_RS00845,145877,146530,+,BSU_01370
NZ_CP015975.1,A8O17_RS00850,146527,147273,+,BSU_01380
NZ_CP015975.1,A8O17_RS00855,147312,147536,+,BSU_01389
NZ_CP015975.1,A8O17_RS00860,147585,147803,+,BSU_01390
NZ_CP015975.1,A8O17_RS00865,147837,147950,+,BSU_01400
NZ_CP015975.1,A8O17_RS00870,147973,148338,+,BSU_01410
NZ_CP015975.1,A8O17_RS00875,148359,148754,+,BSU_01420
NZ_CP015975.1,A8O17_RS00880,148931,149875,+,BSU_01430
NZ_CP015975.1,A8O17_RS00885,149953,150315,+,BSU_01440
NZ_CP015975.1,A8O17_RS00890,150443,151288,+,BSU_01450
NZ_CP015975.1,A8O17_RS00895,151264,152133,+,BSU_01460
NZ_CP015975.1,A8O17_RS00900,152130,152927,+,BSU_01470
NZ_CP015975.1,A8O17_RS00905,152937,153680,+,BSU_01480
NZ_CP015975.1,A8O17_RS00910,153842,154279,+,BSU_01490
NZ_CP015975.1,A8O17_RS00915,154300,154692,+,BSU_01500
NZ_CP015975.1,A8O17_RS00920,155156,155923,+,BSU_01510
NZ_CP015975.1,A8O17_RS00925,156109,156552,+,BSU_01520
NZ_CP015975.1,A8O17_RS00930,156612,157325,+,BSU_01530
NZ_CP015975.1,A8O17_RS00935,157421,158479,+,BSU_01540
NZ_CP015975.1,A8O17_RS00940,158515,159072,-,BSU_01550
NZ_CP015975.1,A8O17_RS00945,159182,159778,+,BSU_01560
NZ_CP015975.1,A8O17_RS00950,159779,160543,-,BSU_01570
NZ_CP015975.1,A8O17_RS01035,177082,178518,+,BSU_01580
NZ_CP015975.1,A8O17_RS01040,178664,179584,+,BSU_01590
NZ_CP015975.1,A8O17_RS01045,179594,180346,-,BSU_01600
NZ_CP015975.1,A8O17_RS01050,180343,181353,-,BSU_01610
NZ_CP015975.1,A8O17_RS01055,181346,182350,-,BSU_01620
NZ_CP015975.1,A8O17_RS01060,182369,183322,-,BSU_01630
NZ_CP015975.1,A8O17_RS01065,183413,185002,-,BSU_01640
NZ_CP015975.1,A8O17_RS01070,185193,186437,-,BSU_01650
NZ_CP015975.1,A8O17_RS01075,186451,188379,-,BSU_01660
NZ_CP015975.1,A8O17_RS01080,188407,189732,-,BSU_01670
NZ_CP015975.1,A8O17_RS01085,189789,191156,-,BSU_01680
NZ_CP015975.1,A8O17_RS01090,191182,192033,-,BSU_01690
NZ_CP015975.1,A8O17_RS01095,192050,192964,-,BSU_01700
NZ_CP015975.1,A8O17_RS01100,193074,193556,-,BSU_01710
NZ_CP015975.1,A8O17_RS01105,193569,194024,-,BSU_01720
NZ_CP015975.1,A8O17_RS01135,194848,195411,+,BSU_01730
NZ_CP015975.1,A8O17_RS01140,195425,196051,+,BSU_01740
NZ_CP015975.1,A8O17_RS01145,196212,197033,+,BSU_01750
NZ_CP015975.1,A8O17_RS01150,197026,198477,+,BSU_01760
NZ_CP015975.1,A8O17_RS01155,198496,199842,+,BSU_01770
NZ_CP015975.1,A8O17_RS20760,200061,200201,+,BSU_misc_RNA_5
NZ_CP015975.1,A8O17_RS01160,200276,202078,+,BSU_01780
NZ_CP015975.1,A8O17_RS01165,202246,203223,+,BSU_01990
NZ_CP015975.1,A8O17_RS01170,203225,203896,+,BSU_02000
NZ_CP015975.1,A8O17_RS01175,203917,204879,+,BSU_02010
NZ_CP015975.1,A8O17_RS01180,204938,205201,+,BSU_02019
NZ_CP015975.1,A8O17_RS01185,205186,205956,-,BSU_02030
NZ_CP015975.1,A8O17_RS01190,206042,206899,-,BSU_02040
NZ_CP015975.1,A8O17_RS01195,207031,208215,+,BSU_02050
NZ_CP015975.1,A8O17_RS01200,208533,209921,+,BSU_02060
NZ_CP015975.1,A8O17_RS01205,210033,210281,+,BSU_02070
NZ_CP015975.1,A8O17_RS01210,210298,210489,+,BSU_02080
NZ_CP015975.1,A8O17_RS01215,210516,211319,-,BSU_02090
NZ_CP015975.1,A8O17_RS01220,211492,212745,+,BSU_02100
NZ_CP015975.1,A8O17_RS01225,212786,213046,-,BSU_02110
NZ_CP015975.1,A8O17_RS01230,213315,214934,+,BSU_02120
NZ_CP015975.1,A8O17_RS01235,214981,215862,-,BSU_02130
NZ_CP015975.1,A8O17_RS01240,215961,217295,-,BSU_02140
NZ_CP015975.1,A8O17_RS01245,217592,217840,+,BSU_02150
NZ_CP015975.1,A8O17_RS01250,217932,218849,+,BSU_02160
NZ_CP015975.1,A8O17_RS01255,218846,220096,+,BSU_02170
NZ_CP015975.1,A8O17_RS20320,220131,220415,-,BSU_02180
NZ_CP015975.1,A8O17_RS01265,220611,221522,-,BSU_02190
NZ_CP015975.1,A8O17_RS01270,221611,223809,-,BSU_02200
NZ_CP015975.1,A8O17_RS01275,223884,224804,-,BSU_02210
NZ_CP015975.1,A8O17_RS01280,224801,225628,-,BSU_02220
NZ_CP015975.1,A8O17_RS01285,225859,227013,+,BSU_02230
NZ_CP015975.1,A8O17_RS01290,227157,228098,+,BSU_02240
NZ_CP015975.1,A8O17_RS01295,228061,228459,+,BSU_02250
NZ_CP015975.1,A8O17_RS01300,228625,229515,+,BSU_02260
NZ_CP015975.1,A8O17_RS01305,229711,230244,+,BSU_02270
NZ_CP015975.1,A8O17_RS01310,230235,230723,+,BSU_02280
NZ_CP015975.1,A8O17_RS01315,230716,231507,+,BSU_02290
NZ_CP015975.1,A8O17_RS01320,231562,231840,+,BSU_02300
NZ_CP015975.1,A8O17_RS01325,231946,233286,+,BSU_02310
